"Timestamp","Age","Gender","Monthly Income","Education Level","Employement Status","I understand the environmental impact of fashion products.","I consider sustainability when buying fashion products.","I believe consumers should support sustainable fashion.","I question sustainability claims made by fashion brands.","I believe some fashion brands exaggerate their green claims.","I look for evidence before trusting sustainability statements.","Sustainable fashion reflects my personal values.","I use fashion choices to express my identity.","I feel connected with people who support sustainable fashion.","I trust eco-labels on sustainable fashion products.","I believe certified eco-labels provide reliable information.","Eco-labels help me choose sustainable fashion products.","The price of sustainable fashion affects my buying decisions.","Limited availability makes it difficult to buy sustainable fashion.","Style choices influence my decision to buy sustainable fashion.","I regularly buy sustainable fashion products.","I choose sustainable fashion brands when available.","I intend to continue purchasing sustainable fashion products.","I am willing to pay more for sustainable fashion products.","I accept higher prices for environmentally friendly clothing.","I would choose sustainable fashion even if it costs more."
"2026/08/30 10:15:04 pm CET","18 - 24 years","Male","Less than £1,000","Master’s Degree","Employed part time","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree"
"2026/08/30 10:19:04 pm CET","18 - 24 years","Male","Less than £1,000","Bachelor’s Degree","Student","Strongly Agree","Agree","Agree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Agree","Neither Agree nor Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Neither Agree nor Disagree"
"2026/08/30 10:20:54 pm CET","18 - 24 years","Female","Prefer not to say","Bachelor’s Degree","Student","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Strongly Agree","Agree","Agree","Agree"
"2026/08/30 10:24:32 pm CET","18 - 24 years","Male","Less than £1,000","Bachelor’s Degree","Employed full time","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Strongly Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree"
"2026/08/30 10:28:16 pm CET","18 - 24 years","Male","Prefer not to say","Bachelor’s Degree","Unemployed","Agree","Neither Agree nor Disagree","Agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Neither Agree nor Disagree","Agree"
"2026/08/30 10:29:35 pm CET","18 - 24 years","Female","Less than £1,000","Bachelor’s Degree","Employed full time","Strongly Agree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Disagree","Agree","Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/30 10:30:44 pm CET","18 - 24 years","Male","£1,000–£1,999","Master’s Degree","Employed part time","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/30 10:32:00 pm CET","25–34 years","Female","£1,000–£1,999","Master’s Degree","Employed full time","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Strongly Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree"
"2026/08/30 10:33:32 pm CET","25–34 years","Female","£1,000–£1,999","Secondary School or below","Employed full time","Strongly Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree"
"2026/08/30 10:34:51 pm CET","35–44 years","Female","£2,000–£2,999","Bachelor’s Degree","Employed full time","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/30 10:36:29 pm CET","25–34 years","Female","£1,000–£1,999","Master’s Degree","Employed part time","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/30 10:49:06 pm CET","18 - 24 years","Female","£1,000–£1,999","Master’s Degree","Employed part time","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/30 10:53:22 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Employed part time","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/30 10:54:25 pm CET","18 - 24 years","Male","Prefer not to say","Bachelor’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/30 10:55:28 pm CET","25–34 years","Female","£1,000–£1,999","Master’s Degree","Employed full time","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree"
"2026/08/30 10:56:24 pm CET","18 - 24 years","Male","Less than £1,000","Master’s Degree","Employed part time","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/30 10:57:26 pm CET","25–34 years","Female","£2,000–£2,999","Master’s Degree","Employed full time","Strongly Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/30 10:58:50 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Employed part time","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/30 10:59:57 pm CET","18 - 24 years","Female","£1,000–£1,999","Bachelor’s Degree","Employed full time","Agree","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Disagree","Disagree"
"2026/08/30 11:01:31 pm CET","25–34 years","Male","£2,000–£2,999","Master’s Degree","Employed full time","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Disagree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Disagree"
"2026/08/30 11:02:50 pm CET","18 - 24 years","Female","£1,000–£1,999","Master’s Degree","Employed full time","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/30 11:15:20 pm CET","25–34 years","Male","£2,000–£2,999","Bachelor’s Degree","Self-employed","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Disagree","Agree","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/30 11:16:23 pm CET","18 - 24 years","Male","£1,000–£1,999","Master’s Degree","Employed part time","Agree","Agree","Agree","Agree","Agree","Disagree","Neither Agree nor Disagree","Strongly Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree"
"2026/08/30 11:17:26 pm CET","18 - 24 years","Female","Less than £1,000","Bachelor’s Degree","Employed part time","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
